It took 15.920997619628906 seconds to calculate the Mandelbrot graph.
It took 0.20399999618530273 seconds to dump the image.
         2697341 function calls (2670085 primitive calls) in 17.469 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.007    0.000 platform.py:1061(system)
       30    0.000    0.000    0.007    0.000 platform.py:923(uname)
     2232    0.007    0.000    0.007    0.000 font_manager.py:1188(score_stretch)
       36    0.000    0.000    0.007    0.000 backend_agg.py:224(draw_text)
       60    0.001    0.000    0.007    0.000 lines.py:276(__init__)
        1    0.000    0.000    0.007    0.007 platform.py:754(_node)
      360    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      262    0.000    0.000    0.007    0.000 sre_parse.py:96(closegroup)
        2    0.000    0.000    0.007    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 version.py:5(<module>)
        1    0.000    0.000    0.007    0.007 subprocess.py:42(<module>)
      6/4    0.000    0.000    0.007    0.002 axis.py:581(__get__)
        1    0.000    0.000    0.007    0.007 __init__.py:115(<module>)
        1    0.000    0.000    0.007    0.007 shutil.py:5(<module>)
       15    0.000    0.000    0.007    0.000 artist.py:759(set_clip_path)
       31    0.000    0.000    0.007    0.000 patches.py:276(get_transform)
    43464    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.007    0.007 linalg.py:10(<module>)
        1    0.000    0.000    0.007    0.007 ticker.py:124(<module>)
        1    0.000    0.000    0.006    0.006 spines.py:1(<module>)
    24086    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
       19    0.000    0.000    0.006    0.000 patches.py:747(get_patch_transform)
        1    0.000    0.000    0.006    0.006 core.py:21(<module>)
     2232    0.002    0.000    0.006    0.000 font_manager.py:1206(score_weight)
      235    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.006    0.006 cm.py:39(_gen_cmap_registry)
        1    0.000    0.000    0.006    0.006 socket.py:47(<module>)
        1    0.000    0.000    0.006    0.006 _mathtext.py:3(<module>)
        8    0.000    0.000    0.006    0.001 axis.py:850(set_tick_params)
    21116    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
      191    0.000    0.000    0.006    0.000 text.py:162(update)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
    19655    0.004    0.000    0.006    0.000 inspect.py:158(isfunction)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:34(<module>)
       37    0.000    0.000    0.006    0.000 transforms.py:2012(rotate_deg)
       16    0.000    0.000    0.006    0.000 ticker.py:2112(__call__)
       37    0.000    0.000    0.006    0.000 transforms.py:1996(rotate)
     2184    0.003    0.000    0.006    0.000 inspect.py:525(_findclass)
    16/12    0.000    0.000    0.006    0.000 deprecation.py:291(wrapper)
        1    0.000    0.000    0.006    0.006 ElementTree.py:7(<module>)
       17    0.000    0.000    0.006    0.000 rcsetup.py:710(validate_cycler)
       19    0.000    0.000    0.006    0.000 transforms.py:2032(rotate_deg_around)
       47    0.000    0.000    0.006    0.000 __init__.py:1294(_add_data_doc)
    44638    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.005    0.003 _base.py:3186(grid)
     1178    0.001    0.000    0.005    0.000 font_manager.py:968(_json_decode)
        4    0.000    0.000    0.005    0.001 axis.py:1394(grid)
     3286    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       16    0.000    0.000    0.005    0.000 ticker.py:2116(tick_values)
      759    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      167    0.000    0.000    0.005    0.000 fromnumeric.py:51(_wrapfunc)
      382    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
       10    0.000    0.000    0.005    0.001 version.py:42(parse)
       10    0.000    0.000    0.005    0.001 version.py:261(__init__)
       16    0.001    0.000    0.005    0.000 ticker.py:2052(_raw_ticks)
        1    0.005    0.005    0.005    0.005 {built-in method mkl._py_mkl_service.get_version}
     5856    0.001    0.000    0.005    0.000 abc.py:137(__instancecheck__)
        1    0.000    0.000    0.005    0.005 transforms.py:30(<module>)
      606    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       38    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       10    0.005    0.000    0.005    0.000 version.py:444(_cmpkey)
     1456    0.001    0.000    0.005    0.000 {built-in method builtins.any}
       38    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:3(<module>)
        2    0.000    0.000    0.005    0.002 axis.py:2342(_update_label_position)
        1    0.000    0.000    0.005    0.005 JpegImagePlugin.py:34(<module>)
        2    0.000    0.000    0.005    0.002 axis.py:2073(_update_label_position)
    24457    0.004    0.000    0.004    0.000 enum.py:531(__new__)
        1    0.000    0.000    0.004    0.004 threading.py:1(<module>)
    17045    0.003    0.000    0.004    0.000 sre_parse.py:172(append)
     9653    0.003    0.000    0.004    0.000 inspect.py:504(_is_wrapper)
      537    0.000    0.000    0.004    0.000 colors.py:111(is_color_like)
      738    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        2    0.000    0.000    0.004    0.002 _version.py:7(<module>)
       18    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(clip)
      828    0.001    0.000    0.004    0.000 colors.py:152(to_rgba)
       18    0.000    0.000    0.004    0.000 fromnumeric.py:2046(clip)
       32    0.000    0.000    0.004    0.000 colors.py:927(from_list)
      428    0.000    0.000    0.004    0.000 rcsetup.py:310(validate_color)
      643    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
       18    0.000    0.000    0.004    0.000 {method 'clip' of 'numpy.ndarray' objects}
       18    0.000    0.000    0.004    0.000 _methods.py:125(_clip)
        1    0.000    0.000    0.004    0.004 _mathtext.py:1882(Parser)
      137    0.000    0.000    0.004    0.000 transforms.py:1480(transform)
     5856    0.002    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.004    0.004 __init__.py:201(<module>)
     1825    0.001    0.000    0.004    0.000 re.py:172(match)
      236    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.004    0.004 hmac.py:4(<module>)
        1    0.000    0.000    0.004    0.004 common.py:7(<module>)
       11    0.000    0.000    0.004    0.000 core.py:1042(parse_string)
       18    0.004    0.000    0.004    0.000 _methods.py:106(_clip_dep_invoke_with_casting)
      340    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<lambda>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2468(<listcomp>)
  541/504    0.001    0.000    0.004    0.000 contextlib.py:116(__exit__)
        1    0.000    0.000    0.004    0.004 tz.py:9(<module>)
       38    0.004    0.000    0.004    0.000 {built-in method nt.listdir}
       37    0.001    0.000    0.004    0.000 __init__.py:316(namedtuple)
       56    0.001    0.000    0.004    0.000 lines.py:649(recache)
      137    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
        8    0.000    0.000    0.004    0.000 axis.py:1275(get_majorticklocs)
        1    0.000    0.000    0.003    0.003 backend_qt.py:1(<module>)
     7225    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
      154    0.001    0.000    0.003    0.000 font_manager.py:658(__init__)
        9    0.000    0.000    0.003    0.000 core.py:5260(__init__)
      286    0.001    0.000    0.003    0.000 overrides.py:89(verify_matching_signatures)
        1    0.000    0.000    0.003    0.003 exceptions.py:3(<module>)
      149    0.001    0.000    0.003    0.000 deprecation.py:133(deprecate)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
     29/8    0.000    0.000    0.003    0.000 core.py:4271(leave_whitespace)
       74    0.000    0.000    0.003    0.000 artist.py:1166(_cm_set)
4255/3562    0.002    0.000    0.003    0.000 artist.py:290(stale)
      721    0.002    0.000    0.003    0.000 functools.py:37(update_wrapper)
      440    0.002    0.000    0.003    0.000 __init__.py:1691(normalize_kwargs)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
     1365    0.001    0.000    0.003    0.000 colors.py:106(_is_nth_color)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
      401    0.001    0.000    0.003    0.000 core.py:471(copy)
     1176    0.001    0.000    0.003    0.000 ntpath.py:67(isabs)
      284    0.000    0.000    0.003    0.000 function_base.py:475(add_newdoc)
  175/163    0.000    0.000    0.003    0.000 typing.py:248(inner)
        1    0.000    0.000    0.003    0.003 TiffImagePlugin.py:41(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
      239    0.000    0.000    0.003    0.000 rcsetup.py:282(validate_color_for_prop_cycle)
       16    0.000    0.000    0.003    0.000 {built-in method builtins.eval}
       61    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.003    0.003 defchararray.py:17(<module>)
